timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2023/11/21 03:29:30.618, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.628, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.638, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.648, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.658, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.668, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.678, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.688, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.699, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.709, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.719, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.729, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.739, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.749, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.759, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.769, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.780, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.790, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.800, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.810, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.820, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.830, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.840, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.850, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.860, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.871, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.881, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.891, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.901, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.911, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.921, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.931, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.941, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.952, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.962, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.972, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.982, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.992, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.002, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.012, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.023, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.033, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.043, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.053, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.063, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.073, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.084, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.094, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.104, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.114, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.124, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.134, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.144, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.154, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.165, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.175, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.185, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.195, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.205, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.215, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.225, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.235, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.246, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.256, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.266, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.276, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.286, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.296, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.306, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.316, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.327, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.337, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.347, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.357, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:31.367, 0, 40960, 621, 3005, 37332
